Data Movimento;Banco;Historico;Valor
30/11/2021;CAIXA;SAQUE B24H;1.500,00 D
01/12/2021;CAIXA;CT SALARIO;10.535,67 C
06/12/2021;CAIXA;ENVIO PIX;8.000,00 D
29/12/2021;CAIXA;CP ELECTRO;387,62 D
03/01/2022;CAIXA;CT SALARIO;7.137,27 C
17/01/2022;CAIXA;PAG BOLETO;1.025,45 D
17/01/2022;CAIXA;ENVIO PIX;3.124,35 D
01/02/2022;CAIXA;CT SALARIO;7.137,27 C
01/02/2022;CAIXA;SAQUE B24H;1.500,00 D
02/02/2022;CAIXA;ENVIO PIX;900,00 D
04/02/2022;CAIXA;ENVIO PIX;276,82 D
09/02/2022;CAIXA;CP ELECTRO;234,00 D
14/02/2022;CAIXA;SAQUE B24H;700,00 D
14/02/2022;CAIXA;PAG BOLETO;1.025,45 D
02/03/2022;CAIXA;CT SALARIO;7.137,27 C
03/03/2022;CAIXA;SAQUE B24H;1.500,00 D
07/03/2022;CAIXA;ENVIO PIX;276,82 D
30/03/2022;CAIXA;SAQUE B24H;1.500,00 D
01/04/2022;CAIXA;CT SALARIO;7.137,27 C
04/04/2022;CAIXA;APLICACAO;10.000,00 D
05/04/2022;CAIXA;ENVIO PIX;8.000,00 D
20/04/2022;CAIXA;PAG BOLETO;1.025,45 D
02/05/2022;CAIXA;CT SALARIO;7.137,27 C
02/05/2022;CAIXA;SAQUE B24H;1.500,00 D
09/05/2022;CAIXA;PAG BOLETO;1.025,45 D
27/05/2022;CAIXA;SAQUE B24H;1.500,00 D
30/05/2022;CAIXA;DOC-IR;3.778,74 C
30/05/2022;CAIXA;SAQUE B24H;1.500,00 D
01/06/2022;CAIXA;CT SALARIO;7.137,27 C
03/06/2022;CAIXA;APLICACAO;6.000,00 D
08/06/2022;CAIXA;ENVIO PIX;1.348,63 D
15/06/2022;CAIXA;ENVIO PIX;3.900,00 D
17/06/2022;CAIXA;ENVIO PIX;1.500,00 D
01/07/2022;CAIXA;CT SALARIO;11.593,82 C
07/07/2022;CAIXA;APLICACAO;10.000,00 D
15/07/2022;CAIXA;PAG BOLETO;1.025,45 D
01/08/2022;CAIXA;CT SALARIO;7.137,27 C
02/08/2022;CAIXA;APLICACAO;7.137,00 D
03/08/2022;CAIXA;ENVIO PIX;900,00 D
04/08/2022;CAIXA;CP ELECTRO;778,95 D
08/08/2022;CAIXA;PAG BOLETO;1.025,45 D
18/08/2022;CAIXA;ENVIO PIX;12.000,00 D
01/09/2022;CAIXA;CT SALARIO;7.137,27 C
01/09/2022;CAIXA;SAQUE B24H;1.000,00 D
02/09/2022;CAIXA;APLICACAO;4.853,93 D
05/09/2022;CAIXA;ENVIO PIX;1.500,00 D
08/09/2022;CAIXA;PAG BOLETO;1.183,46 D
28/09/2022;CAIXA;ENVIO TEV;1.488,74 D
29/09/2022;CAIXA;SAQUE B24H;1.100,00 D
06/10/2022;CAIXA;CRED TED;7.176,45 C
10/10/2022;CAIXA;PAG BOLETO;1.183,45 D
10/10/2022;CAIXA;ENVIO PIX;1.026,00 D
11/10/2022;CAIXA;APLICACAO;1.500,00 D
17/10/2022;CAIXA;SAQUE B24H;1.500,00 D
26/10/2022;CAIXA;CP ELECTRO;783,64 D
01/11/2022;CAIXA;CT SALARIO;7.137,27 C
03/11/2022;CAIXA;SAQUE B24H;1.500,00 D
07/11/2022;CAIXA;ENVIO PIX;1.054,12 D
08/11/2022;CAIXA;PAG BOLETO;1.183,46 D
14/11/2022;CAIXA;SAQUE B24H;1.500,00 D
01/12/2022;CAIXA;CT SALARIO;10.535,67 C
02/12/2022;CAIXA;SAQUE ATM;1.200,00 D
05/12/2022;CAIXA;SAQUE ATM;1.200,00 D
05/12/2022;CAIXA;CP ELECTRO;971,84 D
07/12/2022;CAIXA;ENVIO PIX;662,99 D
12/12/2022;CAIXA;PAG BOLETO;1.183,46 D
22/12/2022;CAIXA;ENVIO PIX;1.410,75 D
02/01/2023;CAIXA;CT SALARIO;7.137,27 C
02/01/2023;CAIXA;SAQUE B24H;900,00 D
03/01/2023;CAIXA;SAQUE ATM;1.500,00 D
09/01/2023;CAIXA;ENVIO PIX;1.000,00 D
10/01/2023;CAIXA;ENVIO PIX;470,88 D
16/01/2023;CAIXA;PAG BOLETO;1.183,46 D
01/02/2023;CAIXA;CT SALARIO;7.137,27 C
01/02/2023;CAIXA;SAQUE B24H;1.500,00 D
02/02/2023;CAIXA;SAQUE B24H;1.500,00 D
08/02/2023;CAIXA;ENVIO PIX;940,15 D
09/02/2023;CAIXA;PAG BOLETO;1.183,46 D
28/02/2023;CAIXA;SAQUE B24H;1.300,00 D
01/03/2023;CAIXA;CT SALARIO;7.137,27 C
01/03/2023;CAIXA;SAQUE B24H;1.500,00 D
02/03/2023;CAIXA;SAQUE ATM;1.500,00 D
06/03/2023;CAIXA;SAQUE B24H;1.000,00 D
08/03/2023;CAIXA;ENVIO PIX;648,80 D
16/03/2023;CAIXA;PAG BOLETO;1.183,46 D
03/04/2023;CAIXA;CT SALARIO;7.137,27 C
03/04/2023;CAIXA;SAQUE B24H;1.500,00 D
03/04/2023;CAIXA;ENVIO PIX;2.023,00 D
10/04/2023;CAIXA;PAG BOLETO;1.183,46 D
10/04/2023;CAIXA;ENVIO PIX;1.500,00 D
19/04/2023;CAIXA;SAQUE B24H;700,00 D
02/05/2023;CAIXA;CT SALARIO;7.137,22 C
02/05/2023;CAIXA;SAQUE B24H;1.000,00 D
03/05/2023;CAIXA;SAQUE B24H;1.500,00 D
04/05/2023;CAIXA;SAQUE B24H;1.000,00 D
04/05/2023;CAIXA;CP ELECTRO;414,96 D
04/05/2023;CAIXA;CP ELECTRO;390,43 D
09/05/2023;CAIXA;CRED PIX;3.000,00 C
17/05/2023;CAIXA;PAG BOLETO;1.183,46 D
16/06/2023;CAIXA;CRED TED;7.152,87 C
19/06/2023;CAIXA;PAG BOLETO;1.183,46 D
21/06/2023;CAIXA;ENVIO PIX;2.000,00 D
03/07/2023;CAIXA;CT SALARIO;11.609,42 C
03/07/2023;CAIXA;SAQUE B24H;1.000,00 D
03/07/2023;CAIXA;ENVIO PIX;3.000,00 D
06/07/2023;CAIXA;ENVIO PIX;1.300,00 D
11/07/2023;CAIXA;ENVIO PIX;5.000,00 D
13/07/2023;CAIXA;PAG BOLETO;1.183,46 D
28/07/2023;CAIXA;CP ELECTRO;441,50 D
01/08/2023;CAIXA;CT SALARIO;7.152,87 C
02/08/2023;CAIXA;SAQUE B24H;1.000,00 D
04/08/2023;CAIXA;ENVIO PIX;1.000,00 D
10/08/2023;CAIXA;ENVIO PIX;893,00 D
10/08/2023;CAIXA;ENVIO PIX;631,00 D
14/08/2023;CAIXA;PAG BOLETO;1.183,46 D
17/08/2023;CAIXA;SAQUE B24H;1.000,00 D
18/08/2023;CAIXA;SAQUE ATM;1.300,00 D
01/09/2023;CAIXA;CT SALARIO;7.938,05 C
04/09/2023;CAIXA;CP ELECTRO;665,33 D
08/09/2023;CAIXA;CP ELECTRO;260,21 D
11/09/2023;CAIXA;ENVIO PIX;1.600,00 D
12/09/2023;CAIXA;SAQUE B24H;1.000,00 D
18/09/2023;CAIXA;PAG BOLETO;1.295,61 D
25/09/2023;CAIXA;SAQUE B24H;1.000,00 D
02/10/2023;CAIXA;CT SALARIO;7.933,74 C
04/10/2023;CAIXA;SAQUE ATM;1.500,00 D
05/10/2023;CAIXA;SAQUE B24H;1.000,00 D
09/10/2023;CAIXA;ENVIO PIX;1.485,00 D
10/10/2023;CAIXA;SAQUE ATM;1.000,00 D
01/11/2023;CAIXA;CT SALARIO;7.933,74 C
01/11/2023;CAIXA;SAQUE B24H;1.000,00 D



Data Movimento;Banco;Historico;Valor
02/01/2018;ITAU;PGTO INSS;937,00 C
02/01/2018;ITAU;CXE SAQUE INSS;750,00 D
02/01/2018;ITAU;CXE SAQUE INSS;180,00 D
02/02/2018;ITAU;PGTO INSS;954,00 C
02/02/2018;ITAU;CXE SAQUE INSS;700,00 D
02/02/2018;ITAU;CXE SAQUE INSS;250,00 D
28/02/2018;ITAU;PGTO INSS;954,00 C
28/02/2018;ITAU;CXE SAQUE INSS;750,00 D
28/02/2018;ITAU;CXE SAQUE INSS;200,00 D
28/02/2018;ITAU;CXE SAQUE INSS;20,00 D
02/04/2018;ITAU;PGTO INSS;954,00 C
02/04/2018;ITAU;CXE SAQUE INSS;950,00 D
02/05/2018;ITAU;PGTO INSS;954,00 C
02/05/2018;ITAU;CXE SAQUE INSS;750,00 D
02/05/2018;ITAU;CXE SAQUE INSS;200,00 D
29/05/2018;ITAU;PGTO INSS;954,00 C
29/05/2018;ITAU;CXE SAQUE INSS;750,00 D
29/05/2018;ITAU;CXE SAQUE INSS;200,00 D
28/06/2018;ITAU;PGTO INSS;954,00 C
28/06/2018;ITAU;CXE SAQUE INSS;750,00 D
28/06/2018;ITAU;CXE SAQUE INSS;200,00 D
30/07/2018;ITAU;PGTO INSS;954,00 C
30/07/2018;ITAU;CXE SAQUE INSS;700,00 D
30/07/2018;ITAU;CXE SAQUE INSS;250,00 D
03/09/2018;ITAU;PGTO INSS;1.431,00 C
03/09/2018;ITAU;CXE SAQUE INSS;750,00 D
03/09/2018;ITAU;CXE SAQUE INSS;700,00 D
02/10/2018;ITAU;CXE SAQUE INSS;750,00 D
30/10/2018;ITAU;PGTO INSS;954,00 C
30/10/2018;ITAU;CXE SAQUE INSS;200,00 D
30/10/2018;ITAU;CXE SAQUE INSS;700,00 D
30/10/2018;ITAU;CXE SAQUE INSS;250,00 D
30/11/2018;ITAU;PGTO INSS;1.431,00 C
30/11/2018;ITAU;CXE SAQUE INSS;800,00 D
30/11/2018;ITAU;CXE SAQUE INSS;640,00 D
31/12/2018;ITAU;PGTO INSS;954,00 C
31/12/2018;ITAU;CXE SAQUE INSS;700,00 D
31/12/2018;ITAU;CXE SAQUE INSS;250,00 D
02/01/2019;ITAU;PGTO INSS;998,00 C
03/01/2019;ITAU;CXE SAQUE INSS;800,00 D
03/01/2019;ITAU;CXE SAQUE INSS;180,00 D
01/02/2019;ITAU;PGTO INSS;998,00 C
01/02/2019;ITAU;CXE SAQUE INSS;950,00 D
01/03/2019;ITAU;PGTO INSS;998,00 C
04/03/2019;ITAU;CXE SAQUE INSS;500,00 D
04/03/2019;ITAU;CXE SAQUE INSS;480,00 D
02/04/2019;ITAU;PGTO INSS;998,00 C
03/04/2019;ITAU;CXE SAQUE INSS;990,00 D
02/05/2019;ITAU;PGTO INSS;998,00 C
03/05/2019;ITAU;CXE SAQUE INSS;800,00 D
03/05/2019;ITAU;CXE SAQUE INSS;190,00 D
03/06/2019;ITAU;PGTO INSS;998,00 C
04/06/2019;ITAU;CXE SAQUE INSS;980,00 D
02/07/2019;ITAU;PGTO INSS;998,00 C
02/07/2019;ITAU;CXE SAQUE INSS;990,00 D
02/08/2019;ITAU;PGTO INSS;998,00 C
05/08/2019;ITAU;CXE SAQUE INSS;980,00 D
02/09/2019;ITAU;PGTO INSS;1.497,00 C
03/09/2019;ITAU;CXE SAQUE INSS;1.000,00 D
03/09/2019;ITAU;CXE SAQUE INSS;490,00 D
02/10/2019;ITAU;PGTO INSS;998,00 C
03/10/2019;ITAU;CXE SAQUE INSS;990,00 D
01/11/2019;ITAU;PGTO INSS;998,00 C
04/11/2019;ITAU;CXE SAQUE INSS;990,00 D
02/12/2019;ITAU;PGTO INSS;1.497,00 C
03/12/2019;ITAU;CXE SAQUE INSS;1.000,00 D
03/12/2019;ITAU;CXE SAQUE INSS;490,00 D
03/01/2020;ITAU;PGTO INSS;1.039,00 C
06/01/2020;ITAU;SAQUE 24H;1.000,00 D
03/02/2020;ITAU;PGTO INSS;1.045,00 C
04/02/2020;ITAU;SAQUE 24H;1.000,00 D
03/03/2020;ITAU;PGTO INSS;1.045,00 C
04/03/2020;ITAU;SAQUE 24H;1.040,00 D
02/04/2020;ITAU;PGTO INSS;1.045,00 C
03/04/2020;ITAU;SAQUE 24H;1.000,00 D
04/05/2020;ITAU;PGTO INSS;1.045,00 C
05/05/2020;ITAU;SAQUE 24H;1.040,00 D
02/06/2020;ITAU;PGTO INSS;1.045,00 C
03/06/2020;ITAU;SAQUE 24H;1.040,00 D
02/07/2020;ITAU;PGTO INSS;1.045,00 C
03/07/2020;ITAU;SAQUE 24H;1.040,00 D
04/08/2020;ITAU;PGTO INSS;1.045,00 C
05/08/2020;ITAU;SAQUE 24H;1.040,00 D
02/09/2020;ITAU;PGTO INSS;1.567,50 C
03/09/2020;ITAU;SAQUE 24H;1.000,00 D
03/09/2020;ITAU;SAQUE 24H;560,00 D
02/10/2020;ITAU;PGTO INSS;1.045,00 C
05/10/2020;ITAU;SAQUE 24H;1.040,00 D
04/11/2020;ITAU;PGTO INSS;1.045,00 C
05/11/2020;ITAU;SAQUE 24H;1.040,00 D
02/12/2020;ITAU;PGTO INSS;1.567,50 C
03/12/2020;ITAU;SAQUE 24H;1.000,00 D
03/12/2020;ITAU;SAQUE 24H;560,00 D
04/01/2021;ITAU;PGTO INSS;1.100,00 C
05/01/2021;ITAU;SAQUE 24H;1.000,00 D
05/01/2021;ITAU;SAQUE 24H;100,00 D
02/02/2021;ITAU;PGTO INSS;1.100,00 C
03/02/2021;ITAU;SAQUE 24H;1.100,00 D
02/03/2021;ITAU;PGTO INSS;1.100,00 C
03/03/2021;ITAU;SAQUE 24H;1.100,00 D
05/04/2021;ITAU;PGTO INSS;1.100,00 C
06/04/2021;ITAU;SAQUE 24H;1.100,00 D
04/05/2021;ITAU;PGTO INSS;1.100,00 C
05/05/2021;ITAU;SAQUE 24H;1.100,00 D
02/06/2021;ITAU;PGTO INSS;1.650,00 C
04/06/2021;ITAU;SAQUE 24H;1.000,00 D
04/06/2021;ITAU;SAQUE 24H;650,00 D
02/07/2021;ITAU;PGTO INSS;1.100,00 C
05/07/2021;ITAU;SAQUE 24H;1.100,00 D
03/08/2021;ITAU;PGTO INSS;1.100,00 C
04/08/2021;ITAU;SAQUE 24H;1.100,00 D
02/09/2021;ITAU;PGTO INSS;1.100,00 C
03/09/2021;ITAU;SAQUE 24H;1.100,00 D
04/10/2021;ITAU;PGTO INSS;1.100,00 C
05/10/2021;ITAU;SAQUE 24H;1.100,00 D
04/11/2021;ITAU;PGTO INSS;1.100,00 C
05/11/2021;ITAU;SAQUE 24H;1.100,00 D
02/12/2021;ITAU;PGTO INSS;1.650,00 C
03/12/2021;ITAU;SAQUE 24H;1.000,00 D
03/12/2021;ITAU;SAQUE 24H;600,00 D
04/01/2022;ITAU;PGTO INSS;1.212,00 C
05/01/2022;ITAU;SAQUE 24H;1.200,00 D
03/02/2022;ITAU;PGTO INSS;1.212,00 C
04/02/2022;ITAU;SAQUE 24H;1.200,00 D
03/03/2022;ITAU;PGTO INSS;1.212,00 C
04/03/2022;ITAU;SAQUE 24H;1.200,00 D
04/04/2022;ITAU;PGTO INSS;1.212,00 C
05/04/2022;ITAU;SAQUE 24H;1.200,00 D
03/05/2022;ITAU;PGTO INSS;1.818,00 C
04/05/2022;ITAU;SAQUE 24H;1.000,00 D
04/05/2022;ITAU;SAQUE 24H;800,00 D
02/06/2022;ITAU;PGTO INSS;1.212,00 C
03/06/2022;ITAU;SAQUE 24H;1.200,00 D
04/07/2022;ITAU;PGTO INSS;1.212,00 C
05/07/2022;ITAU;SAQUE 24H;1.200,00 D
02/08/2022;ITAU;PGTO INSS;1.212,00 C
03/08/2022;ITAU;SAQUE 24H;1.200,00 D
02/09/2022;ITAU;PGTO INSS;1.212,00 C
05/09/2022;ITAU;SAQUE 24H;1.200,00 D
04/10/2022;ITAU;PGTO INSS;1.212,00 C
05/10/2022;ITAU;SAQUE 24H;1.200,00 D
03/11/2022;ITAU;PGTO INSS;1.212,00 C
04/11/2022;ITAU;SAQUE 24H;1.200,00 D
02/12/2022;ITAU;PGTO INSS;1.818,00 C
05/12/2022;ITAU;SAQUE 24H;1.000,00 D
05/12/2022;ITAU;SAQUE 24H;800,00 D
03/01/2023;ITAU;PGTO INSS;1.302,00 C
04/01/2023;ITAU;SAQUE 24H;1.300,00 D
02/02/2023;ITAU;PGTO INSS;1.302,00 C
03/02/2023;ITAU;SAQUE 24H;1.300,00 D
02/03/2023;ITAU;PGTO INSS;1.302,00 C
03/03/2023;ITAU;SAQUE 24H;1.300,00 D
04/04/2023;ITAU;PGTO INSS;1.302,00 C
05/04/2023;ITAU;SAQUE 24H;1.300,00 D
03/05/2023;ITAU;PGTO INSS;1.320,00 C
04/05/2023;ITAU;SAQUE 24H;1.300,00 D
02/06/2023;ITAU;PGTO INSS;1.980,00 C
05/06/2023;ITAU;SAQUE 24H;1.000,00 D
05/06/2023;ITAU;SAQUE 24H;900,00 D
04/07/2023;ITAU;PGTO INSS;1.320,00 C
05/07/2023;ITAU;SAQUE 24H;1.300,00 D
01/08/2023;ITAU;PGTO INSS;1.320,00 C
01/08/2023;ITAU;SAQUE 24H;1.000,00 D
01/08/2023;ITAU;SAQUE 24H;320,00 D
04/09/2023;ITAU;PGTO INSS;1.320,00 C
05/09/2023;ITAU;SAQUE 24H;1.300,00 D
03/10/2023;ITAU;PGTO INSS;1.320,00 C
04/10/2023;ITAU;SAQUE 24H;1.300,00 D
03/11/2023;ITAU;PGTO INSS;1.320,00 C
06/11/2023;ITAU;SAQUE 24H;1.000,00 D
06/11/2023;ITAU;SAQUE 24H;320,00 D
04/12/2023;ITAU;PGTO INSS;1.320,00 C
05/12/2023;ITAU;SAQUE 24H;1.000,00 D
05/12/2023;ITAU;SAQUE 24H;320,00 D
